dist,walk,ride,bike,car,pt
14000,0.002807760615241246,0.21119016934277493,0.029607507947832335,0.6642833478149287,0.09211121427922275
14100,0.0018386462313315691,0.2123520712512879,0.020800603721819265,0.6712400404556743,0.09376863833988698
14200,0.0008657552714634456,0.21111788914876906,0.016179846088700604,0.6677808866389939,0.10405562285207297
14300,0.00017144562461548642,0.20960931201521485,0.0166110938520609,0.6627164514835693,0.11089169702453953
14400,0.0,0.20668164011932036,0.022565244732805488,0.6533881982905952,0.11736491685727908
14500,0.0,0.20045942983243706,0.0313817237769991,0.6337177584470522,0.13444108794351156
14600,0.0,0.18582660069278756,0.04629668209723278,0.5990228922872987,0.168853824922681
14700,0.0,0.1464100481443608,0.0752966737543979,0.552708398581649,0.22558487951959236
14800,0.0,0.07570565523405967,0.11692250738929258,0.5224381046781283,0.2849337326985194
14900,0.0,0.05311299289482017,0.1168521940762185,0.590863199309706,0.2391716137192554
15000,0.0,0.05778376849452462,0.10803478005361272,0.6434936949520575,0.19068775649980507
15100,0.0,0.05606259125094467,0.13167475087096236,0.6267653804100621,0.18549727746803088
15200,0.0,0.05281808929582655,0.16922601142863042,0.5936297653783666,0.1843261338971764
15300,0.0,0.05028803601679816,0.20323819436889026,0.5678756071164754,0.17859816249783608
15400,0.0,0.047610406370450505,0.2342699793791274,0.5397774408031376,0.1783421734472845
15500,0.0,0.04502981022260234,0.26050454733997963,0.5161916556689137,0.17827398676850434
15600,0.0,0.04327373155721495,0.2658923422115749,0.5130333312500006,0.17780059498120945
15700,0.0,0.04001918806046324,0.24826771940326894,0.49589503268997515,0.2158180598462928
15800,0.0,0.03768327865491387,0.21405778050030522,0.4825883460605034,0.26567059478427757
15900,0.0,0.0383292651361161,0.16424548149232204,0.4954848985295489,0.301940354842013
16000,0.0,0.039471951813803946,0.10953732896847301,0.5117099691971131,0.3392807500206099
16100,0.0,0.040932679636885,0.05431233121801923,0.5322283911329303,0.3725265980121655
16200,0.0,0.04225320190840476,0.01248602454660044,0.5518617343154091,0.3933990392295857
16300,0.0,0.04152202934754776,0.0021867581388572556,0.5466274968202482,0.40966371569334675
16400,0.0,0.03920911660722306,0.0029312683896721183,0.5229763137968754,0.43488330120622953
16500,0.0,0.036470758724441346,0.003869709214936818,0.49772021650840037,0.46193931555222145
16600,0.0,0.037978703308002494,0.0047692285940574035,0.5282926048886517,0.4289594632092883
16700,0.0,0.046556495752690566,0.0051709165084579695,0.6425181254913194,0.30575446224753206
16800,0.0,0.05658947196702357,0.004470900275584128,0.7621564498377148,0.17678317791967751
